Frame_number,object_code,object_position_x,object_position_y,object_width,object_height
0,PD,115.3646240234375,132.98695373535156,126.16563415527344,177.88441467285156
1,PD,344.9977111816406,136.36656188964844,355.7143249511719,187.25611877441406
2,PD,92.96910858154297,288.2181701660156,112.47699737548828,373.1610412597656
3,PD,167.5355224609375,189.15943908691406,179.71771240234375,251.9568634033203
4,PD,120.74526977539062,257.5043029785156,142.71856689453125,336.5026550292969
5,PD,358.6728515625,151.58322143554688,371.00433349609375,225.39828491210938
6,PD,58.115840911865234,185.90480041503906,72.08869171142578,243.87217712402344
7,PD,145.5492401123047,231.83013916015625,168.89942932128906,296.5791015625
8,PD,1.0444488525390625,265.19854736328125,17.3629207611084,350.00897216796875
9,PD,71.06505584716797,151.0584259033203,81.8030014038086,208.57872009277344
10,PD,4.500462532043457,166.70132446289062,18.14501953125,237.52462768554688
11,PD,144.0614013671875,193.7212371826172,158.26577758789062,244.77528381347656
12,PD,320.5180358886719,119.58697509765625,328.0572814941406,160.38815307617188
13,PD,376.7125244140625,166.17538452148438,389.05908203125,225.36288452148438
14,PD,144.93106079101562,128.5799102783203,155.78890991210938,169.96006774902344
15,PD,135.0805206298828,292.0140075683594,158.74522399902344,367.0566711425781
16,PD,304.93524169921875,121.62837219238281,310.51934814453125,142.70848083496094
17,PD,183.8172607421875,76.10724639892578,190.54385375976562,94.7032241821289
18,PD,327.3616943359375,141.72445678710938,336.48992919921875,183.48641967773438
19,PD,374.0148620605469,110.57875061035156,382.3729553222656,139.02957153320312
20,PD,224.7592315673828,163.36618041992188,234.9772491455078,177.1842041015625
21,PD,358.30267333984375,134.71974182128906,368.3836669921875,177.15162658691406
22,PD,329.06072998046875,112.50724029541016,335.24652099609375,132.21319580078125
23,PD,410.5246887207031,159.09764099121094,415.7389221191406,232.04420471191406
24,PD,180.1623992919922,19.910259246826172,192.41261291503906,67.21499633789062
25,PD,374.79736328125,132.0025177001953,383.50457763671875,181.53062438964844
